id,city,squareMeters,rooms,buildYear,price,price_per_square_meter
7b4b8cf656b08d82942072c7bb35ff29,krakow,28.0,1.0,1950.0,430000,15357.142857142857
499c9af4091693d06e1c229ad033b3e4,krakow,26.0,1.0,1988.0,430000,16538.461538461539
119ff61b2e800d23ea3349f53264eb76,krakow,28.0,1.0,1955.0,430000,15357.142857142857
83385b6e6898b34be8b9bfb5f1638819,krakow,28.0,1.0,1955.0,430000,15357.142857142857
78e2844b302b91ae5a05e6566f122e9b,krakow,39.42,2.0,1978.0,430000,10908.168442415017
83385b6e6898b34be8b9bfb5f1638819,krakow,28.0,1.0,1955.0,430000,15357.142857142857
5f2a26b40d05637664bdc881ce39285e,krakow,28.0,1.0,1960.0,430000,15357.142857142857
1a54648f6d5376cbb0115496e5364505,krakow,28.0,1.0,1950.0,430000,15357.142857142857
ec00df5bf24f8503e620707596932648,krakow,31.0,1.0,,430000,13870.967741935483
e1dea835a23d7969737392b4f3e769a2,krakow,29.8,1.0,1997.0,430000,14429.530201342281
4ea4833bd36a11abee2e70a005d5051d,krakow,29.8,1.0,1997.0,430000,14429.530201342281
f631e55e4c43340b8815f049eb7eafa1,krakow,25.0,1.0,1969.0,430000,17200.0
138249db7bc3dc9cd5f74405e17d9d9a,krakow,25.0,1.0,1969.0,430000,17200.0
bb461cedb6cd8070ac6bdd5f0ab3eee0,krakow,28.7,1.0,1980.0,430000,14982.578397212545
deb3b59730fec9d87e3f3ed597709c1d,krakow,32.0,1.0,1975.0,432000,13500.0
deb3b59730fec9d87e3f3ed597709c1d,krakow,32.0,1.0,1975.0,432000,13500.0
deb3b59730fec9d87e3f3ed597709c1d,krakow,32.0,1.0,1975.0,432000,13500.0
deb3b59730fec9d87e3f3ed597709c1d,krakow,32.0,1.0,1975.0,432000,13500.0
5262ee0500aa037a5839fa8e6ab71e23,krakow,38.67,2.0,2023.0,434000,11223.170416343419
5262ee0500aa037a5839fa8e6ab71e23,krakow,38.67,3.0,2023.0,434000,11223.170416343419
4e0869ebe9caeaccf3849d667b2399aa,krakow,25.0,1.0,1950.0,435000,17400.0
4e0869ebe9caeaccf3849d667b2399aa,krakow,25.0,1.0,1950.0,435000,17400.0
dc2c6db65db804d0e92fc69539558b66,krakow,26.6,1.0,,435000,16353.383458646616
254f32a5bc9881bf976ed17689bf2b16,krakow,34.0,1.0,1954.0,435000,12794.117647058823
dc2c6db65db804d0e92fc69539558b66,krakow,26.6,1.0,,435000,16353.383458646616
254f32a5bc9881bf976ed17689bf2b16,krakow,34.0,1.0,1954.0,435000,12794.117647058823
7e912fe5b557064c82746599e14c4fc3,krakow,28.1,1.0,2022.0,435000,15480.427046263345
65712d5c71ea1bbb664374694e3a38de,krakow,26.0,1.0,1981.0,435000,16730.76923076923
0f8b4229778616aeeb1ed6156b184b41,krakow,34.97,2.0,,437125,12500.0
70bfe4289ce73fab369324ab4378a8c9,krakow,35.03,2.0,,437875,12500.0
7e912fe5b557064c82746599e14c4fc3,krakow,28.1,1.0,2022.0,439000,15622.775800711743
5c329680e2e148bf387136bf9d3980c0,krakow,30.0,1.0,,439000,14633.333333333334
cbb633e63632832ef0255f52081db465,krakow,29.39,1.0,1998.0,439500,14954.066008846547
fc15167abdb151ebfedd5b63fc4f7ebb,krakow,26.35,1.0,2024.0,439999,16698.254269449713
5de353811faf22488aa16eae8a30e9e0,krakow,37.0,2.0,1960.0,440000,11891.891891891892
aeb7072157595324578b59d171588840,krakow,26.68,1.0,,440000,16491.754122938532
64c31e628017c165f977ddba5cf29e24,krakow,44.21,2.0,1950.0,440000,9952.499434517078
69ba40bd3259843d1c5a54fda92f6f2b,krakow,32.16,1.0,1975.0,440000,13681.592039800997
8df434691d69e2974d497800242fd341,krakow,37.0,2.0,1960.0,440000,11891.891891891892
17b22ae79caf6c8dd2c5dea6f02390ae,krakow,25.05,1.0,1970.0,440000,17564.870259481038
8df434691d69e2974d497800242fd341,krakow,37.0,2.0,1960.0,440000,11891.891891891892
f1b34a95346b0d2d19f6f5904be530b0,krakow,43.0,2.0,,440000,10232.558139534884
b1787b977a87ddc60170110892b161ab,krakow,25.0,1.0,2000.0,440000,17600.0
aeb7072157595324578b59d171588840,krakow,26.68,1.0,,440000,16491.754122938532
ca5e74cedeec3ca71700891c64fea1c1,krakow,28.0,1.0,1950.0,440000,15714.285714285714
8df434691d69e2974d497800242fd341,krakow,37.0,2.0,1960.0,440000,11891.891891891892
8df434691d69e2974d497800242fd341,krakow,37.0,2.0,1960.0,440000,11891.891891891892
4d443ec86520e603ce8033e1ac3ecae9,krakow,34.0,2.0,1970.0,444000,13058.823529411764
88a26d82bfe439b6b26169a55e9d47b9,krakow,36.45,2.0,1970.0,444000,12181.069958847736
03e486dab36f643314ecc6c7927bb987,krakow,32.44,1.0,1950.0,444428,13700.000000000002
85fe289b11b7e798ba266f708821e456,krakow,30.0,2.0,2008.0,444444,14814.8
82b00a8bfbfa7815b12a4c969aa908e9,krakow,35.0,2.0,1980.0,445000,12714.285714285714
3f6131a780a850e45f2dd6c0421cb7b6,krakow,31.73,1.0,1950.0,445000,14024.58241411913
b660031a672286455902c2d04a7f84dd,krakow,31.47,1.0,1940.0,445000,14140.451223387354
82b00a8bfbfa7815b12a4c969aa908e9,krakow,35.0,2.0,1980.0,445000,12714.285714285714
dd92dae446bdf009e62f73b8f3f3f0e4,krakow,28.71,2.0,1890.0,445005,15500.0
b026fe0d8d82cd7c5a07c045b7ee69c2,krakow,26.65,1.0,1890.0,447330,16785.365853658539
029a185eb048797d98dc1756cf0c3324,krakow,26.76,1.0,1890.0,447330,16716.367713004482
257d030da6983c5a4a4ad46852a4cf86,krakow,34.97,2.0,,447616,12800.0
ec00df5bf24f8503e620707596932648,krakow,31.0,1.0,,448000,14451.612903225807
8121e686b8c2bf8569aaec4e3ce458fc,krakow,35.03,2.0,,448384,12800.0
8121e686b8c2bf8569aaec4e3ce458fc,krakow,35.03,2.0,,448384,12800.0
17646be732afe6265fbb8a7e8168fa33,krakow,35.03,2.0,,448384,12800.0
7227b41f2c008ef20cb716fc18229109,krakow,35.03,2.0,,448384,12800.0
901be4aad9de14c535caecb20c3e8684,krakow,35.03,2.0,,448384,12800.0
8121e686b8c2bf8569aaec4e3ce458fc,krakow,35.03,2.0,,448384,12800.0
a6c5398648be06063105e7a6de4227b2,krakow,35.03,2.0,,448384,12800.0
64398d1fe2e1ad99fed4b962dde50611,krakow,29.7,3.0,1940.0,449000,15117.845117845118
64398d1fe2e1ad99fed4b962dde50611,krakow,29.7,3.0,1940.0,449000,15117.845117845118
19ebdfb8172c7971724f39f9d4644dd2,krakow,31.0,1.0,1930.0,449000,14483.870967741936
4c19ad536717bb1e4146cd15840bf121,krakow,28.3,1.0,2012.0,449000,15865.724381625441
5833987b48bec7a32351fd6dfebc9a6a,krakow,35.0,1.0,1985.0,449000,12828.571428571429
