id,city,buildYear,squareMeters,rooms,price,price_per_square_meter
831cdd9f11bb3da79d535f76caac4ec0,krakow,2017.0,26.0,1.0,639000,24576.923076923078
6c5cb191ab7b16e38300b5d9732f92bd,krakow,2017.0,26.0,1.0,639000,24576.923076923078
be3450ce42756191a82608997db6770d,krakow,2017.0,26.0,1.0,639000,24576.923076923078
4d4809040f36d025255e955f654468bc,krakow,2017.0,26.0,1.0,639000,24576.923076923078
9d425673a08ebd31ac6969f9894bf6be,krakow,2017.0,26.0,1.0,639000,24576.923076923078
e395020bc6f5e1d80c6f95857d4de863,krakow,2017.0,26.0,1.0,639000,24576.923076923078
4398b3d9b148bb7a8f859edd442c8c67,krakow,2017.0,26.0,1.0,639000,24576.923076923078
6c04210c1c6271656225eaf9a9b11948,krakow,2017.0,26.0,1.0,639000,24576.923076923078
a121613dcd71f4cc61f04d1782f701ff,krakow,2017.0,26.0,1.0,645000,24807.692307692309
f435c72b30c6dda12737062427d5d4bb,krakow,2022.0,26.0,1.0,650000,25000.0
831cdd9f11bb3da79d535f76caac4ec0,krakow,2017.0,26.0,1.0,660000,25384.615384615383
3c9f7852a409e2fc60c1374ee86710d8,krakow,2017.0,26.0,1.0,660000,25384.615384615383
29944cbdd864d885792a1e79f42da19d,krakow,2017.0,26.0,1.0,660000,25384.615384615383
27be4cc2a6bf1c7b5de652c5cbbeb5b6,krakow,2017.0,26.0,1.0,660000,25384.615384615383
6c5cb191ab7b16e38300b5d9732f92bd,krakow,2017.0,26.0,1.0,660000,25384.615384615383
81fd0e26d2fc6db97fde6f66b1f031bf,krakow,2019.0,26.02,1.0,535000,20561.106840891622
b9f2da4c26d129a9f31696be3d33d0df,krakow,2002.0,26.15,1.0,510000,19502.868068833654
95f5c93cd710fc43970fb2896199d214,krakow,2005.0,26.15,1.0,510000,19502.868068833654
89d7b700696ef7989c11997edb94b04b,krakow,2002.0,26.15,1.0,523000,20000.0
c45a0eebb7f82da69aef486767d9844e,krakow,2020.0,26.15,1.0,595000,22753.346080305928
35810a3da8060f9ce9a4fb476c9ddd61,krakow,1900.0,26.21,1.0,707670,27000.0
31c6b4ae7c413760524562dba897fff7,krakow,1895.0,26.34,1.0,560000,21260.440394836751
2c6282c7cfba42653ca5c2539fbf09af,krakow,1895.0,26.34,1.0,570000,21640.09111617312
7d071829ecdaf405f286b43af36fc52f,krakow,2024.0,26.35,1.0,399000,15142.314990512334
fc15167abdb151ebfedd5b63fc4f7ebb,krakow,2024.0,26.35,1.0,418999,15901.290322580644
fc15167abdb151ebfedd5b63fc4f7ebb,krakow,2024.0,26.35,1.0,439999,16698.254269449713
2785aa47b9cc3dca87a37413e49ae224,krakow,2023.0,26.36,1.0,539000,20447.647951441577
e49cef925d4cde110e33e61cecb7c1b6,krakow,1900.0,26.4,1.0,712000,26969.696969696972
183ef4b766174c7cd44c92a4032b1c3e,krakow,,26.5,2.0,520000,19622.641509433961
344c362bce8d3c425658b482ec8e532e,krakow,2024.0,26.5,1.0,579000,21849.056603773584
8c39281eaf87664fbcff79c89adb15e2,krakow,1920.0,26.5,2.0,720000,27169.811320754718
d993c79e37f5cb09fd947f782c481461,krakow,1931.0,26.5,2.0,720000,27169.811320754718
91bb27ba3d7f31e365edd2bb1e5cb24a,krakow,1960.0,26.5,2.0,720000,27169.811320754718
8558f050d4b6d58df5ba3d91a8bcb3c2,krakow,2024.0,26.52,1.0,489000,18438.914027149323
8558f050d4b6d58df5ba3d91a8bcb3c2,krakow,2024.0,26.52,1.0,499000,18815.987933634991
cd6cf981d7e7a27de4f25201a14941e6,krakow,2023.0,26.57,1.0,539000,20286.036883703426
a06f69953f2e18e2056796889625d5c2,krakow,2023.0,26.57,1.0,549000,20662.401204365826
a06f69953f2e18e2056796889625d5c2,krakow,2023.0,26.57,1.0,550000,20700.037636432065
66486f467a5a3f1cf39d5eb709c8b941,krakow,2018.0,26.58,1.0,690000,25959.367945823931
bb90b3dfa976c0db752ce8e707965029,krakow,2018.0,26.58,1.0,690000,25959.367945823931
5597f8f9d5eb229e36bd24abac4c0566,krakow,2018.0,26.58,1.0,690000,25959.367945823931
dc2c6db65db804d0e92fc69539558b66,krakow,,26.6,1.0,435000,16353.383458646616
b026fe0d8d82cd7c5a07c045b7ee69c2,krakow,1890.0,26.65,1.0,399000,14971.857410881801
b026fe0d8d82cd7c5a07c045b7ee69c2,krakow,1890.0,26.65,1.0,447330,16785.365853658539
aeb7072157595324578b59d171588840,krakow,,26.68,1.0,440000,16491.754122938532
96206082ff12fa3a53163ce1248c1499,krakow,2014.0,26.69,1.0,449999,16860.209816410639
96206082ff12fa3a53163ce1248c1499,krakow,2014.0,26.69,1.0,499999,18733.570625702509
da2379a0ca5026dcf62daccab9d62c4c,krakow,1963.0,26.7,1.0,395000,14794.007490636704
bb84a8d3abfe9b70aa248f97ce981a9f,krakow,2010.0,26.7,1.0,479000,17940.074906367041
6c9b1f3e571d29dda22854727f61c39e,krakow,2010.0,26.7,1.0,489000,18314.606741573036
bb84a8d3abfe9b70aa248f97ce981a9f,krakow,2010.0,26.7,1.0,489000,18314.606741573036
9748244dc9268f6a7cb8de052353faf2,krakow,,26.7,2.0,539000,20187.265917602996
4b424c4382195cee1ee99d05717795f3,krakow,2024.0,26.7,1.0,539000,20187.265917602996
465254d7b0351d9c533d714e2db8da67,krakow,2016.0,26.7,1.0,691000,25880.149812734082
029a185eb048797d98dc1756cf0c3324,krakow,1890.0,26.76,1.0,399000,14910.313901345291
029a185eb048797d98dc1756cf0c3324,krakow,1890.0,26.76,1.0,447330,16716.367713004482
b775f483949b09966af161ff39f47762,krakow,2023.0,26.77,1.0,410000,15315.651849084798
9a5921742e70561960e76191f8197602,krakow,2023.0,26.77,1.0,419000,15651.849084796415
d237d3d122765b7f8f8766965c52166c,krakow,2023.0,26.77,1.0,419000,15651.849084796415
d2b814774751b8ab30589b47a40ba9ca,krakow,2023.0,26.77,1.0,419000,15651.849084796415
cc1e19104e5adef665a80ac385e88f86,krakow,2023.0,26.77,1.0,420000,15689.204333208816
9f902435b3732424f4fb0822d6903b2b,krakow,2023.0,26.77,1.0,420000,15689.204333208816
213d51d0b97ee4f89c19525585288f20,krakow,2023.0,26.77,1.0,420000,15689.204333208816
1585b9053e33baf3a1e23062aa17f529,krakow,1981.0,26.8,2.0,422000,15746.268656716418
b1c4686ba83f6b7f1f4661b03a28b685,krakow,1910.0,26.9,1.0,399999,14869.851301115243
43712d51fbdf4919fe8ab98104f673de,krakow,,27.0,1.0,399000,14777.777777777777
b975b0d62c2aebf3e614c55566e64550,krakow,1960.0,27.0,1.0,399000,14777.777777777777
16b2dc5716d86ee8f4dcbd28259fe8f5,krakow,1960.0,27.0,1.0,399000,14777.777777777777
8a1c54a0baaf205c16c4bf47b24e78dc,krakow,1960.0,27.0,1.0,399000,14777.777777777777
800f17f425f08ee20cce5a0b5f86f426,krakow,1963.0,27.0,2.0,400000,14814.814814814816
26d0b86aea6d1439176ffbc434a5cc56,krakow,,27.0,2.0,420000,15555.555555555555
4b2727241d61343e75c818b721ef39ba,krakow,1980.0,27.0,1.0,420000,15555.555555555555
370ef4d918c0039aa6f771216e93ca9b,krakow,1980.0,27.0,1.0,420000,15555.555555555555
831b9c8d438ffa574ca03f11e99ea384,krakow,1930.0,27.0,1.0,450000,16666.666666666668
